"","predicted.Sub_cell_type","predicted.Sub_cell_type_organ","predicted.Main_cell_type.score","predicted.Sub_cell_type.score","predicted.Sub_cell_type_organ.score","mapping.score","Azimuth.Pansci.Class","Azimuth.Pansci.Subclass","Azimuth.Cortex.Class","Azimuth.Cortex.Subclass","RNA.class_label","RNA.class_name","RNA.class_bootstrapping_probability","RNA.subclass_label","RNA.subclass_name","RNA.subclass_bootstrapping_probability","RNA.supertype_label","RNA.supertype_name","RNA.supertype_bootstrapping_probability","RNA.cluster_label","RNA.cluster_name","RNA.cluster_alias","RNA.cluster_bootstrapping_probability","mCG.class_label","mCG.class_name","mCG.class_bootstrapping_probability","mCG.subclass_label","mCG.subclass_name","mCG.subclass_bootstrapping_probability","mCG.supertype_label","mCG.supertype_name","mCG.supertype_bootstrapping_probability","mCG.cluster_label","mCG.cluster_name","mCG.cluster_alias","mCG.cluster_bootstrapping_probability","Brainmap.RNA.Class","Brainmap.RNA.Subclass","Brainmap.mCG.Class","Brainmap.mCG.Subclass","seurat_clusters","cell_type"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_J18","Interneurons 1_3","Interneurons 1_3_Brain",1,0.605743053956544,0.605743053956544,0.97798844365783,"Interneurons 1","Interneurons 1_3","GABAergic","Sst","CS20230722_CLAS_07","07 CTX-MGE GABA",0.57,"CS20230722_SUBC_053","053 Sst Gaba",1,"CS20230722_SUPT_0216","0216 Sst Gaba_3",0.53,"CS20230722_CLUS_0767","0767 Sst Gaba_3",533,0.53,"CS20230722_CLAS_20","20 MB GABA",0.52,"CS20230722_SUBC_192","192 PPN-CUN-PCG Otp En1 Gaba",0.77,"CS20230722_SUPT_0794","0794 PPN-CUN-PCG Otp En1 Gaba_3",1,"CS20230722_CLUS_3402","3402 PPN-CUN-PCG Otp En1 Gaba_3",2916,1,"07 CTX-MGE GABA","053 Sst Gaba","24 MY Glut","261 HB Calcb Chol","2","Sst"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_J20","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",1,0.993722215524914,0.993722215524914,0.966608127887166,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_016","016 CA1-ProS Glut",1,"CS20230722_SUPT_0070","0070 CA1-ProS Glut_2",0.74,"CS20230722_CLUS_0273","0273 CA1-ProS Glut_2",352,0.74,"CS20230722_CLAS_11","11 CNU-HYa GABA",0.52,"CS20230722_SUBC_085","085 SI-MPO-LPO Lhx8 Gaba",0.95,"CS20230722_SUPT_0397","0397 SI-MPO-LPO Lhx8 Gaba_2",0.82,"CS20230722_CLUS_1434","1434 SI-MPO-LPO Lhx8 Gaba_2",808,0.82,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_J21","Endothelial cells_1","Endothelial cells_1_Brain",0.525937312668449,0.374075624745586,0.374075624745586,0.989137880678437,"Endothelial cells","Endothelial cells_1","Non-Neuronal","VLMC","CS20230722_CLAS_33","33 Vascular",0.72,"CS20230722_SUBC_331","331 Peri NN",1,"CS20230722_SUPT_1191","1191 Peri NN_1",0.84,"CS20230722_CLUS_5304","5304 Peri NN_1",5243,0.84,"CS20230722_CLAS_11","11 CNU-HYa GABA",0.49,"CS20230722_SUBC_073","073 MEA-BST Sox6 Gaba",0.72,"CS20230722_SUPT_0343","0343 MEA-BST Sox6 Gaba_7",1,"CS20230722_CLUS_1228","1228 MEA-BST Sox6 Gaba_7",1116,1,"33 Vascular","331 Peri NN","24 MY Glut","261 HB Calcb Chol","21","VLMC"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_J24","Dentate gyrus neurons_8","Dentate gyrus neurons_8_Brain",0.586295393865166,0.586295393865166,0.586295393865166,0.702290435510028,"Dentate gyrus neurons","Dentate gyrus neurons_8","Glutamatergic","Meis2","CS20230722_CLAS_04","04 DG-IMN Glut",0.65,"CS20230722_SUBC_038","038 DG-PIR Ex IMN",1,"CS20230722_SUPT_0141","0141 DG-PIR Ex IMN_2",0.94,"CS20230722_CLUS_0515","0515 DG-PIR Ex IMN_2",1408,0.94,"CS20230722_CLAS_24","24 MY Glut",0.62,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.87,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.87,"04 DG-IMN Glut","038 DG-PIR Ex IMN","24 MY Glut","261 HB Calcb Chol","12","Meis2"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_K3","Cortical projection neurons 1_15","Cortical projection neurons 1_15_Brain",0.936522076992403,0.748934777481465,0.748934777481465,0.956935892605786,"Cortical projection neurons 1","Cortical projection neurons 1_21","Glutamatergic","L5 ET","CS20230722_CLAS_24","24 MY Glut",0.41,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"CS20230722_CLAS_11","11 CNU-HYa GABA",0.67,"CS20230722_SUBC_085","085 SI-MPO-LPO Lhx8 Gaba",0.84,"CS20230722_SUPT_0396","0396 SI-MPO-LPO Lhx8 Gaba_1",0.58,"CS20230722_CLUS_1421","1421 SI-MPO-LPO Lhx8 Gaba_1",782,0.58,"01 IT-ET Glut","019 L2/3 IT PPP Glut","24 MY Glut","261 HB Calcb Chol","6","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_K5","Dentate gyrus neurons_8","Dentate gyrus neurons_8_Brain",0.471357106621966,0.471357106621966,0.471357106621966,0.872859459752774,"Cortical projection neurons 1","Dentate gyrus neurons_8","Glutamatergic","L5 ET","CS20230722_CLAS_19","19 MB Glut",0.8,"CS20230722_SUBC_157","157 RN Spp1 Glut",0.59,"CS20230722_SUPT_0682","0682 RN Spp1 Glut_1",1,"CS20230722_CLUS_2761","2761 RN Spp1 Glut_1",8215,1,"CS20230722_CLAS_24","24 MY Glut",0.9,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",0.56,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,0.56,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","8","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_K8","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",0.988788089162135,0.905745710407029,0.905745710407029,0.871219966602763,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",0.93,"CS20230722_SUBC_016","016 CA1-ProS Glut",0.98,"CS20230722_SUPT_0069","0069 CA1-ProS Glut_1",0.86,"CS20230722_CLUS_0269","0269 CA1-ProS Glut_1",358,0.86,"CS20230722_CLAS_24","24 MY Glut",0.59,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",0.91,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,0.91,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","13","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_K9","Cortical projection neurons 2_1","Cortical projection neurons 2_1_Brain",0.832719150855194,0.250594496385347,0.250594496385347,0.970361038870293,"Cortical projection neurons 2","Cortical projection neurons 1_3","Glutamatergic","L6 CT","CS20230722_CLAS_02","02 NP-CT-L6b Glut",1,"CS20230722_SUBC_030","030 L6 CT CTX Glut",1,"CS20230722_SUPT_0115","0115 L6 CT CTX Glut_2",1,"CS20230722_CLUS_0441","0441 L6 CT CTX Glut_2",57,1,"CS20230722_CLAS_27","27 MY GABA",0.3,"CS20230722_SUBC_285","285 MY Lhx1 Gly-Gaba",0.96,"CS20230722_SUPT_1095","1095 MY Lhx1 Gly-Gaba_7",0.91,"CS20230722_CLUS_4923","4923 MY Lhx1 Gly-Gaba_7",34197,0.91,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","10","L6 CT"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_K10","Dentate gyrus neurons_6","Dentate gyrus neurons_6_Brain",0.988117094978874,0.441604954458195,0.441604954458195,0.986595555808354,"Dentate gyrus neurons","Dentate gyrus neurons_8","Glutamatergic","Meis2","CS20230722_CLAS_04","04 DG-IMN Glut",1,"CS20230722_SUBC_037","037 DG Glut",1,"CS20230722_SUPT_0137","0137 DG Glut_2",1,"CS20230722_CLUS_0506","0506 DG Glut_2",1404,1,"CS20230722_CLAS_11","11 CNU-HYa GABA",0.88,"CS20230722_SUBC_088","088 BST Tac2 Gaba",0.55,"CS20230722_SUPT_0410","0410 BST Tac2 Gaba_2",0.93,"CS20230722_CLUS_1501","1501 BST Tac2 Gaba_2",1807,0.93,"04 DG-IMN Glut","038 DG-PIR Ex IMN","24 MY Glut","261 HB Calcb Chol","12","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_K11","Ependymal cells_1","Ependymal cells_1_Brain",0.979836872191383,0.75495902600886,0.75495902600886,0.999187859240035,"Ependymal cells","Ependymal cells_1","GABAergic","Meis2","CS20230722_CLAS_30","30 Astro-Epen",0.62,"CS20230722_SUBC_323","323 Ependymal NN",1,"CS20230722_SUPT_1176","1176 Ependymal NN_2",0.55,"CS20230722_CLUS_5261","5261 Ependymal NN_2",14877,0.55,"CS20230722_CLAS_24","24 MY Glut",0.99,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.98,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.98,"30 Astro-Epen","323 Ependymal NN","24 MY Glut","261 HB Calcb Chol","20","Meis2"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_K12","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",0.992628879136319,0.992628879136319,0.992628879136319,0.902747216180173,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_02","02 NP-CT-L6b Glut",0.84,"CS20230722_SUBC_030","030 L6 CT CTX Glut",1,"CS20230722_SUPT_0115","0115 L6 CT CTX Glut_2",1,"CS20230722_CLUS_0441","0441 L6 CT CTX Glut_2",57,1,"CS20230722_CLAS_24","24 MY Glut",0.91,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",0.88,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,0.88,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_K13","Dentate gyrus neurons_8","Dentate gyrus neurons_8_Brain",0.299797165296962,0.299797165296962,0.299797165296962,0.877617485350268,"Interneurons 2","OB neurons 1_11","GABAergic","L5 ET","CS20230722_CLAS_20","20 MB GABA",0.39,"CS20230722_SUBC_213","213 SCsg Gabrr2 Gaba",0.51,"CS20230722_SUPT_0872","0872 SCsg Gabrr2 Gaba_1",1,"CS20230722_CLUS_3806","3806 SCsg Gabrr2 Gaba_1",3595,1,"CS20230722_CLAS_24","24 MY Glut",0.98,"CS20230722_SUBC_254","254 VCO Mafa Meis2 Glut",1,"CS20230722_SUPT_1016","1016 VCO Mafa Meis2 Glut_4",1,"CS20230722_CLUS_4566","4566 VCO Mafa Meis2 Glut_4",8178,1,"06 CTX-CGE GABA","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","3","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_K14","Interneurons 2_3","Interneurons 2_3_Brain",0.704876980894549,0.295123019105451,0.295123019105451,0.984887088306349,"Interneurons 1","Interneurons 1_3","GABAergic","Sst","CS20230722_CLAS_07","07 CTX-MGE GABA",1,"CS20230722_SUBC_052","052 Pvalb Gaba",1,"CS20230722_SUPT_0206","0206 Pvalb Gaba_2",0.53,"CS20230722_CLUS_0738","0738 Pvalb Gaba_2",611,0.53,"CS20230722_CLAS_27","27 MY GABA",0.78,"CS20230722_SUBC_290","290 MY Prox1 Lmo7 Gly-Gaba",0.97,"CS20230722_SUPT_1104","1104 MY Prox1 Lmo7 Gly-Gaba_1",0.86,"CS20230722_CLUS_4960","4960 MY Prox1 Lmo7 Gly-Gaba_1",3990,0.86,"07 CTX-MGE GABA","053 Sst Gaba","24 MY Glut","261 HB Calcb Chol","2","Sst"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_K15","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",0.994881762495179,0.987529115498878,0.987529115498878,0.906391762371816,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",0.89,"CS20230722_SUBC_016","016 CA1-ProS Glut",0.99,"CS20230722_SUPT_0069","0069 CA1-ProS Glut_1",1,"CS20230722_CLUS_0269","0269 CA1-ProS Glut_1",358,1,"CS20230722_CLAS_19","19 MB Glut",0.28,"CS20230722_SUBC_168","168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut",0.91,"CS20230722_SUPT_0722","0722 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5",0.85,"CS20230722_CLUS_2968","2968 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5",4794,0.85,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_K16","Cortical projection neurons 2_12","Cortical projection neurons 2_12_Brain",0.712773540241153,0.629760663918971,0.629760663918971,0.968376759653597,"Cortical projection neurons 1","Cortical projection neurons 1_13","Glutamatergic","L5 ET","CS20230722_CLAS_02","02 NP-CT-L6b Glut",1,"CS20230722_SUBC_033","033 NP SUB Glut",1,"CS20230722_SUPT_0128","0128 NP SUB Glut_2",0.99,"CS20230722_CLUS_0479","0479 NP SUB Glut_2",93,0.99,"CS20230722_CLAS_01","01 IT-ET Glut",0.93,"CS20230722_SUBC_012","012 MEA Slc17a7 Glut",0.7,"CS20230722_SUPT_0056","0056 MEA Slc17a7 Glut_2",0.69,"CS20230722_CLUS_0205","0205 MEA Slc17a7 Glut_2",485,0.69,"02 NP-CT-L6b Glut","023 SUB-ProS Glut","24 MY Glut","261 HB Calcb Chol","11","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_K17","Cortical projection neurons 2_12","Cortical projection neurons 2_12_Brain",0.683845427299866,0.447374551215359,0.447374551215359,0.912804773974177,"Cortical projection neurons 1","Cortical projection neurons 1_21","Glutamatergic","L5 ET","CS20230722_CLAS_02","02 NP-CT-L6b Glut",1,"CS20230722_SUBC_033","033 NP SUB Glut",0.6,"CS20230722_SUPT_0127","0127 NP SUB Glut_1",0.81,"CS20230722_CLUS_0478","0478 NP SUB Glut_1",92,0.81,"CS20230722_CLAS_19","19 MB Glut",0.19,"CS20230722_SUBC_175","175 SC Bnc2 Glut",0.6,"CS20230722_SUPT_0758","0758 SC Bnc2 Glut_3",0.96,"CS20230722_CLUS_3207","3207 SC Bnc2 Glut_3",4874,0.96,"01 IT-ET Glut","019 L2/3 IT PPP Glut","24 MY Glut","261 HB Calcb Chol","6","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_K19","Cortical projection neurons 1_13","Cortical projection neurons 1_13_Brain",0.696464015293884,0.450916001586318,0.450916001586318,0.943341750669021,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_023","023 SUB-ProS Glut",1,"CS20230722_SUPT_0097","0097 SUB-ProS Glut_2",0.94,"CS20230722_CLUS_0389","0389 SUB-ProS Glut_2",335,0.94,"CS20230722_CLAS_19","19 MB Glut",0.94,"CS20230722_SUBC_157","157 RN Spp1 Glut",0.34,"CS20230722_SUPT_0682","0682 RN Spp1 Glut_1",1,"CS20230722_CLUS_2761","2761 RN Spp1 Glut_1",8215,1,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_K20","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",0.992200823714745,0.983628373246894,0.983628373246894,0.94865595678473,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_016","016 CA1-ProS Glut",1,"CS20230722_SUPT_0069","0069 CA1-ProS Glut_1",1,"CS20230722_CLUS_0269","0269 CA1-ProS Glut_1",358,1,"CS20230722_CLAS_12","12 HY GABA",0.44,"CS20230722_SUBC_106","106 PVpo-VMPO-MPN Hmx2 Gaba",0.33,"CS20230722_SUPT_0482","0482 PVpo-VMPO-MPN Hmx2 Gaba_1",0.58,"CS20230722_CLUS_1882","1882 PVpo-VMPO-MPN Hmx2 Gaba_1",1448,0.58,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_K21","Ependymal cells_4","Ependymal cells_4_Brain",0.258065085009633,0.258065085009633,0.258065085009633,0.968704638760266,"Astrocytes","Astrocytes_14","Non-Neuronal","Astro","CS20230722_CLAS_30","30 Astro-Epen",0.57,"CS20230722_SUBC_319","319 Astro-TE NN",1,"CS20230722_SUPT_1162","1162 Astro-TE NN_2",1,"CS20230722_CLUS_5223","5223 Astro-TE NN_2",14925,1,"CS20230722_CLAS_24","24 MY Glut",0.49,"CS20230722_SUBC_261","261 HB Calcb Chol",0.99,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",0.63,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,0.63,"30 Astro-Epen","319 Astro-TE NN","24 MY Glut","261 HB Calcb Chol","5","Astro"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_K22","Dentate gyrus neurons_8","Dentate gyrus neurons_8_Brain",0.925568154714357,0.925568154714357,0.925568154714357,0.980344603781885,"Dentate gyrus neurons","Dentate gyrus neurons_8","Glutamatergic","Meis2","CS20230722_CLAS_04","04 DG-IMN Glut",1,"CS20230722_SUBC_038","038 DG-PIR Ex IMN",1,"CS20230722_SUPT_0141","0141 DG-PIR Ex IMN_2",0.73,"CS20230722_CLUS_0515","0515 DG-PIR Ex IMN_2",1408,0.73,"CS20230722_CLAS_11","11 CNU-HYa GABA",0.47,"CS20230722_SUBC_085","085 SI-MPO-LPO Lhx8 Gaba",0.91,"CS20230722_SUPT_0398","0398 SI-MPO-LPO Lhx8 Gaba_3",0.86,"CS20230722_CLUS_1440","1440 SI-MPO-LPO Lhx8 Gaba_3",795,0.86,"04 DG-IMN Glut","038 DG-PIR Ex IMN","24 MY Glut","261 HB Calcb Chol","12","Meis2"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_K23","Astrocytes_14","Astrocytes_14_Brain",0.960254298089831,0.436136541070841,0.436136541070841,0.996521666597444,"Astrocytes","Astrocytes_14","Non-Neuronal","Astro","CS20230722_CLAS_30","30 Astro-Epen",1,"CS20230722_SUBC_319","319 Astro-TE NN",0.57,"CS20230722_SUPT_1163","1163 Astro-TE NN_3",1,"CS20230722_CLUS_5227","5227 Astro-TE NN_3",14947,1,"CS20230722_CLAS_24","24 MY Glut",1,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",0.9,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,0.9,"30 Astro-Epen","319 Astro-TE NN","24 MY Glut","261 HB Calcb Chol","5","Astro"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_K24","Astrocytes_5","Astrocytes_5_Brain",0.901416467869723,0.249101148667777,0.249101148667777,0.852277372576972,"Oligodendrocyte progenitor cells","Oligodendrocyte progenitor cells_9","Non-Neuronal","OPC","CS20230722_CLAS_19","19 MB Glut",0.98,"CS20230722_SUBC_176","176 SCig Foxb1 Glut",1,"CS20230722_SUPT_0760","0760 SCig Foxb1 Glut_1",1,"CS20230722_CLUS_3215","3215 SCig Foxb1 Glut_1",4948,1,"CS20230722_CLAS_24","24 MY Glut",0.55,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",1,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,1,"31 OPC-Oligo","326 OPC NN","24 MY Glut","261 HB Calcb Chol","15","OPC"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_L1","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",0.764978840620148,0.284805675555535,0.284805675555535,0.84710628552178,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_24","24 MY Glut",0.42,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"CS20230722_CLAS_24","24 MY Glut",0.39,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.93,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.93,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_L4","Ependymal cells_1","Ependymal cells_1_Brain",0.979672854979406,0.69146083526788,0.69146083526788,0.996734916865774,"Ependymal cells","Ependymal cells_1","GABAergic","Meis2","CS20230722_CLAS_20","20 MB GABA",0.75,"CS20230722_SUBC_213","213 SCsg Gabrr2 Gaba",0.99,"CS20230722_SUPT_0872","0872 SCsg Gabrr2 Gaba_1",1,"CS20230722_CLUS_3806","3806 SCsg Gabrr2 Gaba_1",3595,1,"CS20230722_CLAS_14","14 HY Glut",0.93,"CS20230722_SUBC_136","136 PMv-TMv Pitx2 Glut",0.97,"CS20230722_SUPT_0605","0605 PMv-TMv Pitx2 Glut_1",0.62,"CS20230722_CLUS_2463","2463 PMv-TMv Pitx2 Glut_1",2193,0.62,"30 Astro-Epen","323 Ependymal NN","24 MY Glut","261 HB Calcb Chol","20","Meis2"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_L5","Interbrain and midbrain neurons 2_12","Interbrain and midbrain neurons 2_12_Brain",0.550913440823764,0.137364009880088,0.137364009880088,0.501443750656357,"Cortical projection neurons 1","Dentate gyrus neurons_8","Glutamatergic","L5 ET","CS20230722_CLAS_19","19 MB Glut",1,"CS20230722_SUBC_157","157 RN Spp1 Glut",0.78,"CS20230722_SUPT_0682","0682 RN Spp1 Glut_1",1,"CS20230722_CLUS_2761","2761 RN Spp1 Glut_1",8215,1,"CS20230722_CLAS_24","24 MY Glut",0.79,"CS20230722_SUBC_261","261 HB Calcb Chol",0.66,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",0.9,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,0.9,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","8","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_L6","Ependymal cells_1","Ependymal cells_1_Brain",0.980038393112212,0.749792150267801,0.749792150267801,0.999947376631803,"Ependymal cells","Ependymal cells_1","GABAergic","Meis2","CS20230722_CLAS_30","30 Astro-Epen",1,"CS20230722_SUBC_323","323 Ependymal NN",1,"CS20230722_SUPT_1175","1175 Ependymal NN_1",1,"CS20230722_CLUS_5257","5257 Ependymal NN_1",14991,1,"CS20230722_CLAS_19","19 MB Glut",0.73,"CS20230722_SUBC_167","167 PRC-PAG Tcf7l2 Irx2 Glut",0.96,"CS20230722_SUPT_0717","0717 PRC-PAG Tcf7l2 Irx2 Glut_5",0.99,"CS20230722_CLUS_2921","2921 PRC-PAG Tcf7l2 Irx2 Glut_5",24467,0.99,"30 Astro-Epen","323 Ependymal NN","24 MY Glut","261 HB Calcb Chol","20","Meis2"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_L10","Cortical projection neurons 1_18","Cortical projection neurons 1_18_Brain",0.965332089895994,0.48927673801793,0.48927673801793,0.982241281254054,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_019","019 L2/3 IT PPP Glut",1,"CS20230722_SUPT_0086","0086 L2/3 IT PPP Glut_3",0.98,"CS20230722_CLUS_0337","0337 L2/3 IT PPP Glut_3",300,0.98,"CS20230722_CLAS_19","19 MB Glut",0.96,"CS20230722_SUBC_157","157 RN Spp1 Glut",0.49,"CS20230722_SUPT_0682","0682 RN Spp1 Glut_1",1,"CS20230722_CLUS_2761","2761 RN Spp1 Glut_1",8215,1,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_L11","Cortical projection neurons 1_6","Cortical projection neurons 1_6_Brain",0.983617375152889,0.666028323419211,0.666028323419211,0.981088553886741,"Cortical projection neurons 1","Cortical projection neurons 1_6","Glutamatergic","L2/3 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_017","017 CA3 Glut",1,"CS20230722_SUPT_0078","0078 CA3 Glut_4",1,"CS20230722_CLUS_0315","0315 CA3 Glut_4",421,1,"CS20230722_CLAS_23","23 P Glut",0.56,"CS20230722_SUBC_222","222 PB Evx2 Glut",1,"CS20230722_SUPT_0921","0921 PB Evx2 Glut_8",0.84,"CS20230722_CLUS_4076","4076 PB Evx2 Glut_8",4284,0.84,"01 IT-ET Glut","017 CA3 Glut","24 MY Glut","261 HB Calcb Chol","4","L2/3 IT"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_L12","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",0.95291637390219,0.818563222212473,0.818563222212473,0.920724258956078,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_02","02 NP-CT-L6b Glut",0.91,"CS20230722_SUBC_030","030 L6 CT CTX Glut",1,"CS20230722_SUPT_0115","0115 L6 CT CTX Glut_2",1,"CS20230722_CLUS_0441","0441 L6 CT CTX Glut_2",57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
